Line 1: consecutive \n found in fr, not in origin
Line 3: consecutive \n found in fr, not in origin
Line 7: consecutive \n found in fr, not in origin
Line 8: consecutive \n found in fr, not in origin
Line 14: consecutive \n found in fr, not in origin
Line 17: consecutive \n found in fr, not in origin
Line 18: consecutive \n found in fr, not in origin
Line 29: consecutive \n found in fr, not in origin
Line 32: consecutive \n found in fr, not in origin
Line 34: consecutive \n found in fr, not in origin
Line 43: consecutive \n found in fr, not in origin
Line 45: consecutive \n found in fr, not in origin
Line 47: consecutive \n found in fr, not in origin
Line 64: consecutive \n found in fr, not in origin
Line 95: consecutive \n found in fr, not in origin
Line 108: consecutive \n found in fr, not in origin
Line 111: consecutive \n found in fr, not in origin
Line 117: consecutive \n found in fr, not in origin
Line 124: consecutive \n found in fr, not in origin
Line 125: consecutive \n found in fr, not in origin
Line 132: consecutive \n found in fr, not in origin
Line 138: consecutive \n found in fr, not in origin
Line 140: consecutive \n found in fr, not in origin
Line 154: consecutive \n found in fr, not in origin
